,name,url,short_desc,num_reviews,rating_overall,rating_word,cuisine,address,time,check,tags,desc,kitchen_rating,interior_rating,service_rating
0,Посиделки,https://www.restoclub.ru/spb/place/posidelki,Ресторанчик с домашней атмосферой на Светлановском проспекте,45,8.8,Отлично,"коктейли, смешанная, бургеры, европейская",пр. Светлановский 115 корп. 1,Пн–Вс: 12:00 — 23:00,800,"детское меню, детская комната, живая музыка, шоу-программа, спортивные трансляции","«Посиделки» – милый семейный ресторанчик на Светлановском проспекте, где можно вкусно пообедать или поужинать, а также организовать праздничный банкет.Ресторан напоминает веранду загородного дома, где уютно, тепло и так приятно собираться всей семьей. При входе в заведение для удобства гостей стоят симпатичные скамеечки и большое зеркало. Два зала выдержаны в спокойных светлых тонах. Мягкие диваны, цветочные узоры, слегка приглушенный свет и декоративный камин создают домашнюю атмосферу и настраивают на длительные посиделки за душевной беседой.Меню включает блюда европейской, русской и итальянской кухни. Все готовят на месте, никаких полуфабрикатов – чебуреки, пельмени и самсу лепят вручную. Особого внимания заслуживают горячие мясные блюда. Стейки, бефстроганов, медальоны – сочное свежее мясо подают с аппетитным гарниром и соусами собственного приготовления. Для любителей стритфуда в меню есть несколько видов пиццы и бургеры — с черной булочкой, рубленым мясом, овощами и картофелем фри в качестве дополнения.Хозяин заведения является членом ассоциации барменов, поэтому местная коктейльная карта достойна отдельного внимания. «Жвачка», «Алые паруса», «Дочь Боярского», «Женские посиделки» – в меню есть интересные напитки на любой вкус, в том числе горячие, чтобы согреться с улицы в холодную погоду.Для тех, кто не настроен на коктейли, в барной карте найдется домашнее вино, крепкие напитки, аперитивы и домашние настойки – из клюквы, облепихи, вишни.Из безалкогольного стоит отметить интересные чайные напитки с фруктами, ягодами и пряностями, приготовленные во френч-прессе. Освежиться помогут домашние лимонады.Площадка работает в режиме ресторана и при этом хорошо подходит для проведения банкетов. В уютной домашней обстановке можно отметить юбилей или день рождения, собраться с компанией родных и друзей. Действует четыре варианта банкетного меню. Ресторан можно закрыть целиком или снять один из двух залов.По пятницам в ресторане проходят концерты с живой инструментальной музыкой, выступают вокалисты. На время спортивных событий по всем плазмам транслируют матчи, а публику угощают фирменными шотами «Зенит».Текст предоставлен заведениемдетское менюдетская комнатаживая музыкашоу-программаспортивные трансляции",8.7,9.0,8.7
1,3/4,https://www.restoclub.ru/spb/place/3-4,Винный бар на улице Чайковского,6,8.3,Отлично,европейская,ул. Чайковского 34,"Сб: 14:00 — 02:00, Пн–Чт: 12:00 — 00:00, Пт: 12:00 — 02:00, Вс: 14:00 — 00:00",800,"еда навынос, живая музыка, шоу-программа, кальян","Бар 3/4 в историческом центре Петербурга — это про любовь к деталям, про вино, про коктейли, про авторскую гастрономию и про дружескую атмосферу. Мы воплотили в жизнь идею уютного места для встреч с друзьями и ужинов с родными.
Концепция бара 3/4 строится, прежде всего, вокруг вина: в нашей карте вы можете найти ту самую классику, проверенную временем. Всего на полках собрано около 50 бутылок — от фруктово-цветочного испанского вердехо с травянистым послевкусием до томного аргентинского мальбека с нотами черники, сливы и изюма.
Еще один ключевой раздел в барной карте посвящен коктейлям: здесь собраны всегда актуальные и модные сочетания. Скажем, есть крепкий Negroni на основе джина и вермута, утонченный Manhattan с бурбоном и красным вермутом и освежающий Aperol Spritz — один из тех коктейлей, без которых невозможно представить ни одну летнюю прогулку.
Основа меню бара 3/4 — европейский рецепты, переосмысленные нашим шеф-поваром. Мы за баланс, поэтому блюда идеально подойдут как к вину, так и к коктейлям. Начать знакомство с кухней можно с авторских тапасов — брускетт с интересными начинками. Среди любопытных сочетаний — паштет из куры с грецким орехом, сальса из вяленых овощей и кура с соусом из пармезана. На горячее советуем попробовать нежную говяжью вырезку, ее мы готовим на раскаленном гриле и подаем с шоколадно-перечным соусом. Для приятного времяпровождения гостей мы всегда придумываем что-то новое, приглашаем музыкантов.
Ждем вас в баре 3/4 оценить уже знакомую и полюбившуюся классику и открыть для себя новые вкусовые сочетания.                    
    Текст предоставлен заведениемеда навыносживая музыкашоу-программакальян",8.7,9.2,7.0
2,По чесноку,https://www.restoclub.ru/spb/place/pochesnoku,Ресторан с платным входом и блюдами по себестоимости на улице Оптиков,4,6.9,Неплохо,"стейки, крабы, коктейли, устрицы, смешанная, рыба и морепродукты, европейская",ул. Оптиков 46к1,"Пт–Сб: 12:00 — 02:00, Вс: 12:00 — 00:00, Пн–Чт: 12:00 — 00:00",700,"еда навынос, доставка, кабинки","Ресторан с платным входом и блюдами по себестоимости на улице Оптиков. При входе гостю нужно купить билет-браслет, стоимость варьируется от 150 до 450 рублей в зависимости от времени суток и дня недели. Скажем, если прийти в будни на обед с 12:00 до 16:00, то за вход придется заплатить 150 рублей; а если в тот же день вечером с 18:00 до 22:00, то — 450 рублей. Платный вход компенсируется низкой стоимостью блюд. Так, карпаччо из говядины отдают за 145 рублей, фо бо — за 198 рублей, имбирный цыпленок с рисом — за 187 рублей.                    
    Текст предоставлен заведениемеда навыносдоставкакабинки",6.7,7.4,6.6
3,BrickWood,https://www.restoclub.ru/spb/place/brickwood,Кальянная и бар на улице Ломоносова,19,9.4,Идеально,"стритфуд, коктейли, бургеры, итальянская, европейская",ул. Ломоносова 1,Пн–Вс: 16:00 — 06:00,800,"панорамный вид, караоке, кальян, спортивные трансляции, настольные игры","BrickWood — кальянная и бар на улице Ломоносова. Заведение располагается в самом центре города недалеко от Банковского моста с загадочными грифонами. Кальянная работает на пятом этаже. В «Бриквуде» есть классический и премиальный бестабачные паровые коктейли. За дополнительную плату вместо стандартной чаши задействуем ананас или грейпфрут, а в колбу на выбор нальем мохито, вино, сок или молоко.Кухня представлена в европейском стиле. Можно заказать как легкие закуски, так и горячие блюда. В напитках выбрали авторское направление: готовим безалкогольную сангрию и домашние лимонады с сиропом маракуйи, клубникой или огурцом и мятой. Стартовая цена за 0,5 л напитка — примерно 250 рублей. Еще в кальянной BrickWood интересная чайная коллекция: в списке можно найти облепиховый, китайский и травяной чаи. Внутри лаужн-бара — 3 небольших пространства. В первом зале мы оборудовали игровую зону с приставками  Sony Playstation 4 и популярными настолками. Второй зал — видовой: здесь предлагаем разместиться на широких подоконниках, откуда открывается панорамный вид на канал Грибоедова, или в подвесном кресле в форме кокона. Третий зал выделяем под банкетные мероприятия для больших компаний. Интерьер во всех залах кальянной «Бриквуд» оформлен индивидуально. Для развлечений — небольшой зал в стиле лофт с кирпичными стенами. Под праздничные торжества мы оформили зал в нежно-розовой цветовой гамме. Видовая зона, где так приятно расслабиться, выполнена в светлых тонах с использованием дерева.Текст предоставлен заведениемпанорамный видкараокекальянспортивные трансляциинастольные игры",8.9,9.6,9.4
4,Hookah Craft,https://www.restoclub.ru/spb/place/hookah-craft,Кальянная c крафтовым пивом на Петроградской стороне,28,9.9,Идеально,крафтовое пиво,ул. Шамшева 15Б,"Вс: 15:00 — 02:00, Пт–Сб: 15:00 — 04:00, Пн–Чт: 15:00 — 02:00",500,"кальян, парковка","Кальянная Hookah Craft на Петроградской стороне — это теплая атмосфера, с любовью подобранные сорта пива и безупречные паровые коктейли от мастеров своего дела. Попав к нам однажды, вы почувствуете себя частью большой и дружной семьи, в которую хочется возвращаться снова и снова.Наша гордость — коллекция крафтового пива, в которой более 100 сортов: легкие пшеничные, насыщенные темные, с яркими фруктовыми и сладкими карамельными нотами, с хмельной горчинкой и мягким послевкусием. Мы открыты всему новому и предлагаем гостям попробовать необычные виды вроде кофейного или кокосового.В пару к пиву идут снэки: нежная индейка, тонко нарезанная пряная бастурма, копченая свинина, арахис и сухарики. Для тех, кто хочет основательно перекусить, у нас есть сытный крафтовый сэндвич. Поговорить о смысле жизни можно за чайником душистого зеленого или ароматного черного чая. А еще мы с удовольствием угощаем конфетами и печеньем.Наши кальянные мастера подберут индивидуальный микс, идеально подходящий по вкусу и настроению. Ароматный дым бестабачных паровых коктейлей, дополненный приятным послевкусием любимого пива, располагает к неспешному отдыху от городской суеты. В кальянной «Хука крафт» никогда не бывает скучно — можно устроить турнир на приставках, сразиться в одну из увлекательных настольных игр, провести время за просмотром любимого фильма или спортивного матча. Мы всегда и во всем идем навстречу нашим гостям, учитываем их пожелания, благодаря чему постоянно растем и совершенствуемся.Интерьер кальянной Hookah Craft  оформлен в теплых тонах. Мягкие просторные диваны с подушками и приглушенный свет располагают к комфортному отдыху. Для небольших компаний есть отдельные комнаты.Hookah Craft — это островок спокойствия и безмятежности в большом городе. Время здесь течет незаметно, а каждый гость становится нам близким другом. Приходите, чтобы удостовериться в этом лично!Текст предоставлен заведениемкальянпарковка",9.7,9.9,10
5,Super You Cafe,https://www.restoclub.ru/spb/place/super-you-cafe,Гастрономическое кафе на набережной реки Фонтанки,8,9.5,Идеально,"смешанная, европейская",наб. реки Фонтанки 17,"Пт–Сб: 09:00 — 23:00, Вс: 09:00 — 22:00, Пн–Чт: 09:00 — 22:00",800,"еда навынос, завтрак, кулинарные мастер-классы, ресторан у воды","Super You Café на Фонтанке 17 — эволюция дерзкого и инновационного Sundust Superfood Bar в более зрелый и масштабный гастрономический проект. Ярко ворвавшись в ресторанную индустрию в разгар первого карантина, бар с необычными закусками и напитками завоевал сердца продвинутой аудитории — летом узнаваемые разноцветные стаканчики наблюдаются у каждого третьего прохожего на Фонтанке.Взяв все лучшее у предшественника, мы остались свежими и оригинальными, но приобрели больше изысканности и лоска. Гастрономические эксперименты стали смелее: сочетания трески су-вид с розой и грибами в кокосовых сливках или индейки с шалфеем, цуккини, пряной грушей и муссом из пармезана, интригуют даже опытных гурманов.Каждое утро в Super You начинаем с эталонно инстаграмных завтраков: скремблы, тосты с авокадо и яйцом пашот на солодовом хлебе, каши на альтернативном молоке, запеканка с кремом из чая матча. Десерты столь же фотогеничны: кокосовый брауни с манго и соусом из маракуйи, чизкейк с гречишным чаем и фисташковым кремом. Все сладости готовим только из натуральных ингредиентов.На прогулку можно захватить один из роллов в формате take away: с цыпленком и куркумой в сливочном соусе, с грибами и вялеными томатами, кальмаром и чукой. К вечеру рекомендуем заглянуть к нам на неспешный ужин: отличную пару сулугуни на гриле с малиновым медом составит бокал новозеландского белого или органического вина ручной работы от Константина Дзитоева — кубанского винодела, идеолога и руководителя небольшой семейной винодельни. Экспериментальные горячие напитки — фирменный стиль кафе Super You. Невозможно не попробовать загадочный какао с экстрактами грибов кордицепса и чаги, ароматный раф на саган-дайля и лемонграссе, матча-латте со спирулиной и ананасом или настоящий конопляный чай. Не забываем и о привычной кофейной классике: собрали отличную коллекцию спешелти кофе.Мы запустили интернет-магазин суперфудов и необычных продуктов, которые доставляем на дом. Часть ассортимента можно изучить в лавке при кафе Super You: среди хитов какао-миксы, экспериментальный латте, матчу, травяные сборы, кофе и кокосовую продукцию.Текст предоставлен заведениемеда навыносзавтраккулинарные мастер-классыресторан у воды",9.8,9.2,9.5
6,Terra 13,https://www.restoclub.ru/spb/place/terra-13,Антикафе-кальянная с большим количеством настольных игр и кинотеатром на Садовой улице,6,9.7,Идеально,,ул. Садовая 13-15,Пн–Вс: 13:00 — 06:00,500,"кальян, настольные игры, кабинки","Terra 13 спрятана от чужих глаз и открыта только для своих. Здесь вас ждет непринужденная дружеская атмосфера, живое общение, творческие встречи и новые знакомства. Работаем в формате тайм-кафе: вы платите за проведенное время, а мы угощаем чаем, сладостями и бестабачными паровыми коктейлями. Кроме того, с собой вы можете принести еду и алкоголь, кроме пива, и не выше 25%. Пробковый сбор на алкоголь — 200 рублей. За остальное не беспокойтесь: у нас есть лед, посуда и все, что вам может понадобиться для комфортного отдыха.
 
«Терра 13» находится на третьем этаже дома, расположенного во дворах Садовой улицы. Наше заведение — симбиоз лофта и ар-деко. Внутри просторно, светло, ярко и очень уютно, словно попадаете в гости к старым друзьям. У нас много интересных фишек: панорамные окна с видом на город, три тематических зала и другие сюрпризы, о которых мы расскажем вам лично.
 
В первом зале мы разместили контактную барную стойку, где вы можете пообщаться с нашими мастерами; во втором организовали фотозону с мотоциклом, а в третьем — лаундж-пространство с мини-кинотеатром. Здесь можно смотреть фильмы или трансляции крупных спортивных матчей. И главная наша плюшка — Xbox One с FullHD проекторе на почти 4-метровом экран. Также мы подготовили для вас более 20 видов популярных настольных игр.
 
Для нас важна каждая деталь: мы сами готовим свежие домашние лимонады и предлагаем вам обширную коллекцию элитных чаев. Также есть кофе-машина, на которой мы варим ароматный кофе.
 
Заглядывайте к нам расслабиться после рабочего дня, провести выходные с друзьями или просто поздороваться и выпить чашечку кофе на обеде. У нас есть все для хорошего отдыха: бестабачные кальяны, ароматные напитки, мягкие диваны, приятная музыка и неформальная дружеская атмосфера. Встретим вас и днем и ночью!                    
    Текст предоставлен заведениемкальяннастольные игрыкабинки",9.3,9.8,9.8
7,Пян-се,https://www.restoclub.ru/spb/place/pjan-se-5,Корнер с корейской кухней в ТЦ «Галерея»,15,8.0,Отлично,"азиатская, корейская",Лиговский проспект 30А,Пн–Вс: 10:00 — 23:00,600,"еда навынос, доставка","Корнер с корейской кухней «Пян-Се» в гастрономическом пространстве Eat Market ТЦ «Галерея». Национальная корейская кухня имеет многовековые традиции. Она отличается своей самобытностью, ярким ароматом, а также сбалансированностью вкуса. Блюда этой кухни входят в разряд самых полезных во всем мире, а познакомит вас с ними команда «Пян-се».  Меню проекта разработали опытные шеф-повара Санкт-Петербурга Александр Ким и Владимир Ким. Знаменитый «куксу» из домашней лапши, яркий пибимпаб, чапче, кимчи тиге, сочные пян-се и корейские салаты — это только малая часть того, что мы приготовили для вас.Мы пристально следим за качеством, поэтому блюда готовятся «из под ножа», без заготовок. при этом скорость отдачи очень высокая. Выверенные технологии приготовления, минимальная термическая обработка продуктов и высокая скорость отдачи блюд — это главные принципы работы ресторана корейской кухни «Пян-се». «Пян- Се» — ресторанный формат корейской кухни по демократичным ценам.Текст предоставлен заведениемеда навыносдоставка",8.3,8.5,7.6
8,Midi Modi,https://www.restoclub.ru/spb/place/midi-modi,Грузинское кафе на пересечении улиц Некрасова и Восстания,25,7.0,Хорошо,грузинская,ул. Некрасова 40,"Сб–Вс: 10:00 — 23:00, Пн–Пт: 09:00 — 23:00",700,"еда навынос, доставка","В историческом центре, на углу улиц Некрасова и Восстания, находится кафе современной грузинской кухни Midi ModiВ меню мы собрали многообразие грузинских закусок, выпечки и горячих блюд. Одних только хачапури более 10 видов, в том числе с копченой уткой или сыром дор блю. Среди горячих блюд можно выделить сациви из курицы с боллами эларджи и хинкали. Последние готовим как с мясом, так и с лососем или сулугуни. Завершить ужин предлагаем европейскими десертами, например, брауни или медовиком. Хитом кофейни «Миди Моди» стали воздушные булочки шу с разными начинками: манго, фисташка или сыр. К сладкому у нас внушительный выбор кофе: приготовленного как традиционным способом, так и альтернативным — в аэропрессе. Обязательно попробуйте кофе с грузинским коньяком, колд-брю или лавандовый раф. Винная карта в кафе Midi Modi представлена преимущественно грузинскими тихими и игристыми винами. У нас есть и модные оранжевые вина, выдержанные в глиняных сосудах — квеври. Среди крепкого алкоголя внимания заслуживают наши настойки, например, «Апельсинидзе». Их готовим самостоятельно по технологии су-вид на водке и джине.По будням к нам заглядывают на европейские завтраки и демократичные бизнес-ланчи. Обеденное меню — это конструктор, вы сами выбираете количество блюд. А в качестве дополнения к любому ланчу можно взять мини-хачапури или бокал домашнего вина. Интерьер в кафе «Миди Моди» лаконичный, без традиционных украшений вроде глиняных горшков или ярких панно. Мы использовали натуральные цвета и материалы, а оживляет пространство стена с изображением гранатового дерева — гости любят фотографироваться на ее фоне. Колорита и самобытности месту добавляют большие деревянные окна, где между рамами стоят горшки с туями и другими растениями.Текст предоставлен заведениемеда навыносдоставка",6.4,7.7,7.0
9,Philocoffia,https://www.restoclub.ru/spb/place/philocoffia,Кофейня с завтраками на Железноводской улице,2,0.0,Мало отзывов,десерты,ул. Железноводская 12Б,Пн–Вс: 10:00 — 21:00,200,"завтрак, бизнес-ланч","Уютная кофейня с завтраками и бизнес-ланчами на Железноводской улице на Васильевском острове. Название Philocoffia состоит из двух слов — латинского Philo, что означает «любовь», и coffee — кофе. Наша команда действительно с особым трепетом относится к этому продукту — мы сами обжариваем зерно и следим за вкусом каждой чашечки кофе.
В компактном меню собрали как кофейную классику — американо, капучино или бодрящий флэт уайт, так и авторские напитки вроде лавандового или апельсиново-розмаринового рафа. Баристы кофейни Philocoffia сами варят сиропы для кофе. Наши главные хиты — это нежный раф с печеньем орео и оригинальный напиток с чили и манго.
Помимо кофе, мы наливаем какао с маршмеллоу, матчу, облепиховый взвар. Еще обратите внимание на авторские чаи. Всего есть несколько вкусов: базилик-клубника, апельсин-клюква, грейпфрут-чили и малина-розмарин. Идеальной парой к напиткам станут десерты — макаруны, чизкейк, печенье или лимонная тарталетка.
Утром ждем вас в кофейне «Филокоффия» на завтрак. Подаем овсяную кашу; омлеты с топпингами вроде бекона, томатов или колбасок; нежные сырники и «тофники» — веганский вариант из тофу с домашним вареньем.
В обеденное время сервируем бизнес-ланч. В меню — рис с курицей карри, несколько вариантов пасты и супы — тыквенный, грибной, борщ, солянка и минестроне. В обед включен чайник чая или американо. Кроме этого, при заказе бизнес-ланча на кофейную карту действует скидка.
Кофейня «Филокоффия» занимает один зал, рассчитанный примерно на 16 гостей. У нас царит непринужденная атмосфера: играет приятная музыка на фоне, стоят живые цветы на столиках. Для вашего удобства около каждого посадочного места есть розетки, чтобы можно было поработать за чашечкой кофе. Рекомендуем располагаться у окон с видом на сквер.                    
    Текст предоставлен заведениемзавтракбизнес-ланч",0.0,0.0,0.0
